window_start,site,k_mgl,mg_mgl,no3_ugl,ca_mgl,nh4_ugl
1988-01-01,MPR,NA,NA,NA,NA,NA
1988-03-04,MPR,NA,NA,NA,NA,NA
1988-05-06,MPR,NA,NA,NA,NA,NA
1988-07-08,MPR,NA,NA,NA,NA,NA
1988-09-09,MPR,NA,NA,NA,NA,NA
1988-11-11,MPR,NA,NA,NA,NA,NA
1989-01-13,MPR,NA,NA,NA,NA,NA
1989-03-17,MPR,0.77,1.92,69,6.15,NA
1989-05-19,MPR,0.675,1.965,58.285714285714285,6.525,NA
1989-07-21,MPR,0.6614285714285714,1.5783333333333334,73.71428571428571,6.252857142857143,NA
1989-09-22,MPR,1.21,2.194,263.5,6.906,NA
1989-11-24,MPR,0.9,2.5187500000000003,85.85714285714286,9.15375,NA
1990-01-26,MPR,1.0855555555555556,2.048888888888889,243.88888888888889,8.305,NA
1990-03-30,MPR,0.9944444444444445,2.207777777777778,130.11111111111111,9.503333333333334,NA
1990-06-01,MPR,0.9299999999999999,2.0355555555555553,175.66666666666666,8.523333333333333,NA
1990-08-03,MPR,0.8422222222222222,2.1055555555555556,128.88888888888889,9.421111111111111,NA
1990-10-05,MPR,0.7633333333333333,1.7955555555555556,142.125,6.92,NA
1990-12-07,MPR,0.6488888888888888,2.25,139,7.6322222222222225,NA
1991-02-08,MPR,0.92125,1.9975,105.57142857142857,7.551428571428572,NA
1991-04-12,MPR,0.77,0.86875,52.22222222222222,4.635,NA
1991-06-14,MPR,0.77375,1.96875,57.125,6.26,NA
1991-08-16,MPR,0.8388888888888889,2.4766666666666666,106,8.877777777777778,NA
1991-10-18,MPR,0.655,1.77375,101.44444444444444,5.67,NA
1991-12-20,MPR,0.8244444444444444,2.183333333333333,117.77777777777777,9.377777777777778,NA
1992-02-21,MPR,0.9188888888888889,2.7511111111111113,107.375,9.365,NA
1992-04-24,MPR,0.8366666666666667,1.7522222222222221,54.625,7.101111111111111,NA
1992-06-26,MPR,0.7933333333333333,2.1577777777777776,43.666666666666664,8.5,NA
1992-08-28,MPR,0.9,2.4855555555555555,46.44444444444444,10.154444444444444,NA
1992-10-30,MPR,0.62,1.5975,35.166666666666664,6.53125,NA
1993-01-01,MPR,0.7222222222222222,1.981111111111111,78,7.802222222222222,NA
1993-03-05,MPR,0.8533333333333334,2.3055555555555554,80.22222222222223,9.028888888888888,NA
1993-05-07,MPR,0.8077777777777778,2.051111111111111,55.333333333333336,8.234444444444444,NA
1993-07-09,MPR,0.8075,1.97375,50.75,8.455,NA
1993-09-10,MPR,0.6866666666666666,1.9444444444444444,38.888888888888886,7.8822222222222225,NA
1993-11-12,MPR,0.5988888888888889,1.5222222222222221,33.2,6.6,NA
1994-01-14,MPR,0.6366666666666667,1.8822222222222222,6.333333333333333,8,NA
1994-03-18,MPR,0.7588888888888888,2.1155555555555554,18.4,9.256666666666666,NA
1994-05-20,MPR,0.8277777777777777,2.3544444444444443,24.75,8.94111111111111,NA
1994-07-22,MPR,0.8722222222222222,2.428888888888889,179,9.212222222222222,NA
1994-09-23,MPR,0.7644444444444445,1.93,NA,8.956666666666667,NA
1994-11-25,MPR,0.738,2.338,43,8.16,NA
1988-01-01,Q1,0.8066666666666666,2.1926666666666668,155.06666666666666,3.42,27.533333333333335
1988-03-04,Q1,0.89,1.976875,207.8125,3.084375,22.125
1988-05-06,Q1,0.8811111111111111,2.183,157.5,2.985,90.625
1988-07-08,Q1,0.7607692307692308,1.9523076923076923,63,2.686923076923077,15.5
1988-09-09,Q1,0.7925,2.43875,140.55555555555554,3.665,50.25
1988-11-11,Q1,0.8444444444444444,2.3722222222222222,153.625,4.15125,NA
1989-01-13,Q1,0.9088888888888889,2.783333333333333,130.11111111111111,4.293333333333333,NA
1989-03-17,Q1,0.8544444444444445,2.738888888888889,141.88888888888889,4.444444444444445,NA
1989-05-19,Q1,0.9477777777777777,2.901111111111111,123,4.5344444444444445,NA
1989-07-21,Q1,0.9275,2.6675,99.57142857142857,4.0625,NA
1989-09-22,Q1,1.2953846153846154,2.970833333333333,365,4.2,NA
1989-11-24,Q1,1.1466666666666667,3.2266666666666666,99,5.8566666666666665,NA
1990-01-26,Q1,1.2344444444444445,3.1666666666666665,211.375,5.546666666666667,NA
1990-03-30,Q1,1.3628571428571428,2.5492857142857144,450.3076923076923,4.312857142857143,NA
1990-06-01,Q1,1.1555555555555554,3.2333333333333334,143.77777777777777,5.4944444444444445,NA
1990-08-03,Q1,0.8844444444444445,3.2688888888888887,80.83333333333333,5.841111111111111,NA
1990-10-05,Q1,1.007,2.832,108.5,4.603,NA
1990-12-07,Q1,0.983,2.988,155.375,5.297,NA
1991-02-08,Q1,0.8122222222222223,3.16,70.66666666666667,5.701111111111111,NA
1991-04-12,Q1,0.923,2.9539999999999997,43.77777777777778,5.176,NA
1991-06-14,Q1,0.7644444444444445,3.3777777777777778,32.42857142857143,5.622222222222223,NA
1991-08-16,Q1,1.165,3.614,63.5,5.84,NA
